Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
42,-5,ROSALÍA ,DESPECHÁ,25,5,,14746663,212289.0,531981738
43,-5,Lady Gaga ,Bloody Mary,8,31,,14740484,273746.0,119555465
44,NEW,Sabrina Carpenter ,Nonsense,1,44,,14682959,,14682959
45,-11,Steve Lacy ,Bad Habit,28,10,,14670065,-533059.0,535958064
46,-36,Stephen Sanchez ,Until I Found You,7,10,,14565734,-7257043.0,118350186
47,-11,Rosa Linn ,SNAP,28,16,,14449868,-222611.0,430666913
48,+7,Marília Mendonça ,Leão,3,48,,14419764,2411450.0,33606752
49,-14,The Neighbourhood ,Sweater Weather,150,19,,14371883,-487406.0,1358090386
50,-6,Imagine Dragons ,Bones,45,26,,14239406,466664.0,487013023
51,-6,Glass Animals ,Heat Waves,108,1,(x10),13729329,-20083.0,2123514738
52,-3,The Weeknd ,Starboy,134,1,(x6),13682639,142557.0,1367268603
53,-5,Feid ,Feliz Cumpleaños Ferxxo,22,38,,13326985,-287463.0,263007192
54,-4,The Kid LAROI ,Stay,80,1,(x12),13256747,-166128.0,2257524185
55,-14,Bad Bunny ,Efecto,37,6,,13177643,-979355.0,789773331
56,-5,Beyoncé ,CUFF IT,22,13,,13163854,-170361.0,316275696
57,-15,Lil Uzi Vert ,Just Wanna Rock,13,42,,13025623,-1120498.0,156190452
58,+73,SZA ,Snooze,4,57,,12969240,4917272.0,43844430
59,-13,Bad Bunny ,Ojitos Lindos,37,3,(x2),12775567,-925802.0,847792084
60,-8,The Weeknd ,Blinding Lights,164,1,(x13),12412039,-307440.0,3303739132
61,-8,Joji ,Glimpse of Us,32,1,(x1),12181429,-179657.0,710160232
62,+37,RAYE ,Escapism.,3,62,,12166654,3326699.0,28055213
63,-23,King ,Maan Meri Jaan,9,40,,11860712,-2376646.0,111458711
64,+53,Natanael Cano ,AMG,2,64,,11849660,3316388.0,20382932
65,=,SZA ,Low,6,29,,11804135,1136650.0,74099801
66,+9,Billie Eilish ,lovely,248,24,,11407644,1543329.0,2041149993
67,NEW,Oscar Maydon ,Fin de Semana,1,67,,11370014,,11370014
